Unnamed: 0,state/uts,"no_of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-public","percentage__of_tb_-_diabetes-tb_patients_with_known_dm_status,of_notified)-public","no_of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-private","percentage__of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-private","no_of_tb_-_diabetes-tb_patients_with_known_dm_status,of_notified)-total","percentage_of_tb_-_diabetes-tb_patients_with_known_dm_status,__of_notified)-total","no_of_tb_-_diabetes-patients_diagnosed_among_tested,of_those_with_known_dm_status)-public","percentage_of_tb_-_diabetes-_patients_diagnosed_among_tested,of_those_with_known_dm_status)-public","no_of_tb_-_diabetes-_patients_diagnosed_among_tested,_of_those_with_known_dm_status)-private","percentage__of_tb_-_diabetes-patients_diagnosed_among_tested,__of_those_with_known_dm_status)-private","no_of_tb_-_diabetes-patients_diagnosed_among_tested,_of_those_with_known_dm_status)-total","percentage__of_tb_-_diabetes-__patients_diagnosed_among_tested,_of_those_with_known_dm_status)-total","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-public","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-public","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-private","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-private","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)0total","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,of_tb-dm)0total","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-public","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-public","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,of_notified)-private","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,__of_notified)-private","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,__of_notified)-total","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-total","no_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-public","percentage_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-public","no_of_tobacco_users_identified_amongst_screened,of_those_with_known_tobacco_usage_status)-private","percentage_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-private","no_of_tobacco_users_identified_amongst_screened,of_those_with_known_tobacco_usage_status)-total","percentage__of_tobacco_users_identified_amongst_screened,_of_those_with_known_tobacco_usage_status)-total","no_of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-public","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-public","no_of_tobacco_users_linked_with_tobacco_cessation_centres,of_tobacco_users)-private","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_n_(%_of_tobacco_users)-private","no_of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-total","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-total","_no_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-public","%_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-public","no_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-private","%_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-private","_no_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-total","%_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-total","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-public","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,of_those_with_known_alcohol_usage_status)-public","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-private","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-private","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,__of_those_with_known_alcohol_usage_status)-total","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,__of_those_with_known_alcohol_usage_status)-total","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-public","percentage__of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-public","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-private","percentage__of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-private","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-total","percentage__of_no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-total",latitude,longitude,timestamp,region
1,Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,91.0,3.0,75.0,498.0,90.9,89.0,18.0,0.0,0.0,89.0,17.9,30.0,33.7,0.0,0.0,30.0,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.667,92.735,2023-01-30,West
2,Assam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63627.0,96.2,26477.0,98.1,90104.0,96.8,9786.0,15.4,1409.0,5.3,11195.0,12.4,2456.0,25.1,326.0,23.1,2782.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9129,79.74,2023-09-20,North East
3,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256.0,75.0,3.0,50.0,2259.0,74.9,303.0,13.4,0.0,0.0,303.0,13.4,171.0,56.4,0.0,0.0,171.0,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.218,94.7278,2023-02-11,North East
4,Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30134.0,71.7,4074.0,68.8,34208.0,71.4,7929.0,26.3,325.0,8.0,8254.0,24.1,1497.0,18.9,93.0,28.6,1590.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2006,92.9376,2023-12-16,North East
5,Uttarakhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44248.0,54.4,36165.0,42.8,80413.0,48.5,4139.0,9.4,1152.0,3.2,5291.0,6.6,917.0,22.2,41.0,3.6,958.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0961,85.3131,2023-11-07,North
6,Punjab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3508.0,94.3,47.0,73.4,3555.0,94.0,305.0,8.7,2.0,4.3,307.0,8.6,60.0,19.7,0.0,0.0,60.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7333,76.7794,2023-02-12,North
7,Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25332.0,86.0,5815.0,62.7,31147.0,80.4,7986.0,31.5,336.0,5.8,8322.0,26.7,3595.0,45.0,140.0,41.7,3735.0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2787,81.8661,2023-06-01,Central
8,Assam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,64.9,57.0,75.0,605.0,65.7,67.0,12.2,2.0,3.5,69.0,11.4,38.0,56.7,2.0,100.0,40.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2023-03-18,North East
9,Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51623.0,66.2,1686.0,16.5,53309.0,60.4,3440.0,6.7,16.0,0.9,3456.0,6.5,777.0,22.6,5.0,31.3,782.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7041,77.1025,2023-12-31,North East
10,Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1553.0,92.6,27.0,6.8,1580.0,76.2,105.0,6.8,1.0,3.7,106.0,6.7,8.0,7.6,1.0,100.0,9.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2993,74.124,2023-10-04,West
